"team","teamscore","homescore","offense","defense","offhomeadv","defhomeadv","week"
"97","CMI",0.4,11.9,1,-0.6,8,3.5,11
"98","FURM",0.1,-0.5,-0.1,0.2,-0.7,0.1,11
"99","SELA",0.1,0.3,4.2,-4.1,-0.1,0.3,11
"100","MT",0,0.1,-4.6,4.6,0,0.1,11
"101","GT",-0.1,-1.2,2.3,-2.4,-0.4,-0.7,11
"102","ALB",-0.3,11.7,-1.3,1,7,5,11
"103","CAR",-0.3,-0.1,0.1,-0.5,0.1,0.2,11
"104","EMI",-0.7,-4.8,0.9,-1.7,-3.3,-0.8,11
"105","IDS",-0.7,-1.1,-3.3,2.6,-0.1,-0.4,11
"106","MD",-0.7,9.3,1.6,-2.3,8,2,11
"107","NTX",-0.7,7.3,2.8,-3.5,6.5,1.5,11
"108","CITD",-0.8,-1,0.4,-1.2,0.3,-0.5,11
"109","AR",-1,-4.7,-1.5,0.5,2.5,-6.2,11
"110","TROY",-1.5,4,3.4,-4.9,6.9,-1.3,11
"111","CO",-1.7,5.9,-3.2,1.6,8.1,-0.5,11
"112","ECARO",-1.8,1.8,0.9,-2.7,2,1.7,11
"113","GAT",-2,-0.1,-4.3,2.3,-1.1,3,11
"114","TOWSON",-2,-2.2,-3.4,1.4,-0.5,0.2,11
"115","MIOH",-2.1,8.1,-0.4,-1.7,5.2,4.9,11
"116","SOUTHERN",-2.4,-1.3,3.4,-5.8,0.2,0.8,11
"117","CUSE",-2.6,1.2,-3.9,1.3,6.6,-2.8,11
"118","LIB",-2.8,3,-0.1,-2.7,1.6,4.2,11
"119","NH",-2.8,-2.4,-1.4,-1.4,0.2,0.1,11
"120","COS",-3,-0.1,2.4,-5.4,-0.9,3.9,11
"121","MIDTN",-3.2,8.1,-2.2,-1,8.2,3.1,11
"122","SACS",-3.2,-2.6,-7.2,4.1,0.2,0.4,11
"123","WOFF",-3.2,-3.2,2.8,-6,0.4,-0.3,11
"124","ILS",-3.3,-3.6,-5.4,2.1,-0.3,0,11
"125","UCD",-3.4,-3.6,-1.7,-1.7,-0.3,0.1,11
"126","INS",-3.5,-3.7,-4.8,1.3,-0.3,0.1,11
"127","SIL",-3.5,-3.5,-2.5,-1,0.3,-0.2,11
"128","KENT",-3.7,2.5,0.2,-3.9,1.8,4.4,11
"129","WMI",-3.9,19.2,2.5,-6.4,7.6,15.5,11
"130","RICE",-4,-5.7,-6.4,2.4,-3.6,1.8,11
"131","JMAD",-4.1,-3.9,-7.8,3.7,-0.1,0.3,11
"132","ARPB",-4.5,-4.7,-2.9,-1.6,0,-0.2,11
"133","CCTS",-4.5,-4.2,-0.7,-3.8,0,0.3,11
"134","CHARL",-4.5,1.6,3.5,-8,1.9,4.2,11
"135","ME",-4.5,-3.8,6.2,-10.7,0.3,0.4,11
"136","NIL",-4.6,7.3,-2.8,-1.8,3.1,8.8,11
"137","EW",-4.9,-5.1,-1.1,-3.8,-0.1,-0.1,11
"138","OLD",-5,-11.1,-6.9,1.9,-6.4,0.3,11
"139","TNS",-5.2,-5.1,0.2,-5.3,-0.4,0.5,11
"140","FIU",-5.5,6.4,-2.8,-2.6,2.3,9.5,11
"141","TNM",-5.6,-4.9,-3.2,-2.3,0.2,0.4,11
"142","ACU",-5.7,-6,0.9,-6.6,-0.3,0.1,11
"143","WEBS",-5.8,-6.7,-11.7,5.9,-0.5,-0.4,11
"144","TOL",-6.1,5.8,-2,-4.1,3.1,8.8,11
"145","NWST",-6.3,-6.6,0.9,-7.2,-0.1,-0.2,11
