awayscore,homescore,awayteam,hometeam,week,OT,spread,points
17,31,AR,MS,2,0,5,50.5
45,38,LAS,TX,2,0,-6.5,56.5
13,45,BUFF,PAS,2,0,31.5,57
14,35,LIB,LALA,2,0,14,65.5
7,62,STB,UTS,2,0,31.5,58
0,45,TNM,FL,2,0,44.5,59.5
6,24,TULN,AUB,2,0,15,50.5
25,28,UMIA,NC,2,0,-5,45
3,38,UTEP,TXT,2,0,34.5,64
17,37,HOUS,PRAIRIE,2,0,36,77.5
34,16,TULS,SJS,2,0,-6.5,53.5
43,17,ARS,UNLV,2,0,-1,63.5
20,19,CA,WA,2,0,13.5,43.5
28,28,MN,FREST,2,1,-3,46
20,45,ST,SC,2,0,3.5,44
41,65,NAZ,AZ,2,0,28.5,66
28,31,ORS,HI,2,0,6.5,77
18,24,NC,WF,3,0,
48,24,KS,BOSCO,3,0
31,24,WAS,HOUS,3,0
0,45,CHATT,TN,3,0
0,55,ARS,GA,3,0
13,55,MIOH,CIN,3,0
31,24,KSS,MSS,3,0
34,31,EMI,IL,3,0
10,17,PITT,PAS,3,0
51,10,OHS,IN,3,0
17,24,FURM,VAT,3,0
17,20,MD,TEMP,3,0
27,44,NCS,WV,3,0
23,24,CITD,GAT,3,1
23,23,AIRF,CO,3,1
7,46,NORFS,COAST,3,0
41,31,FLAT,BALL,3,0
14,66,NM,NODA,3,0
24,45,AKR,CMI,3,0
14,30,UNLV,NORW,3,0
31,13,ARMY,UTSA,3,0
27,45,ST,CFL,3,0
40,21,OKS,TULS,3,0
42,6,MEMPH,SAL,3,0
32,35,GASO,MN,3,0
47,23,AL,SCARO,3,0
10,42,ECARO,NAVY,3,0
27,27,SC,BY,3,1
10,7,AZS,MIS,3,0
18,17,IA,IAS,3,0
38,21,LOUIS,WKY,3,0
34,55,COS,AR,3,0
0,63,BCU,UMIA,3,0
29,40,SELA,MS,3,0
0,31,IDS,UT,3,0
17,23,NTX,CA,3,0
7,45,CALPOLY,ORS,3,0
16,21,ID,WY,3,0
35,7,LAT,BOWL,3,0
17,52,UMASS,CHARL,3,0
47,42,SMS,TROY,3,0
17,35,BUFF,LIB,3,0
16,55,SCS,SFL,3,0
31,33,OH,MARSH,3,0
17,30,NH,FIU,3,0
16,55,KENT,AUB,3,0
10,57,GAS,WMI,3,0
13,19,WEBS,NV,3,0
3,62,LAMAR,TAM,3,0
17,47,TXS,SMU,3,0
29,21,FL,KY,3,0
41,18,DUKE,MIDTN,3,0
0,45,MURRS,TOL,3,0
0,50,SEMO,MO,3,0
24,31,FLS,VA,3,0
6,77,TXSO,LALA,3,0
41,6,CLEM,CUSE,3,0
20,52,HI,WA,3,0
34,13,TCU,PURD,3,0
14,65,NWST,LAS,3,0
48,13,TX,RICE,3,0
48,14,OK,UCLA,3,0
31,10,SDS,NMS,3,0
6,58,MOS,TULN,3,0
8,44,NIL,NE,3,0
10,45,PORS,BOIS,3,0
14,28,TXT,AZ,3,0
3,35,MT,OR,3,0
31,38,HOUS,TULN,4,0
31,43,FIU,LAT,4,0
23,30,UT,SC,4,0
19,30,AIRF,BOIS,4,0
21,52,MORGS,ARMY,4,0
14,35,MI,WI,4,0
3,34,TN,FL,4,0
20,72,LAM,IAS,4,0
7,49,ELON,WF,4,0
28,20,CA,MS,4,0
33,52,WMI,CUSE,4,0
3,38,CT,IN,4,0
31,10,MIS,NORW,4,0
66,38,LAS,VAND,4,0
30,16,BOSCO,R,4,0
7,49,SMS,AL,4,0
62,28,COAST,UMASS,4,0
45,25,LALA,OH,4,0
35,7,TROY,AKR,4,0
29,34,CCTS,EMI,4,0
20,62,BOWL,KENT,4,0
45,19,WA,BY,4,0
5,76,MIOH,OHS,4,0
22,38,TEMP,BUFF,4,0
28,20,AUB,TAM,4,0
41,38,SMU,TCU,4,0
24,35,LOUIS,FLS,4,0
21,24,WY,TULS,4,0
34,31,APPS,NC,4,0
3,35,SAL,ALB,4,0
34,35,CFL,PITT,4,0
14,34,SCARO,MO,4,0
13,28,KY,MSS,4,0
12,17,CMI,UMIA,4,0
29,24,WV,KS,4,0
52,55,NMS,NM,4,0
7,19,WM,ECARO,4,0
7,42,WAG,FLAT,4,0
27,62,HAMP,LIB,4,0
28,41,SIL,ARS,4,0
34,34,GAS,TXS,4,1
21,6,OR,ST,4,0
23,34,BALL,NCS,4,0
21,13,BAYL,RICE,4,0
17,28,OLD,VA,4,0
3,45,UTSA,NTX,4,0
31,24,SJS,AR,4,0
30,36,OKS,TX,4,0
10,52,CHARL,CLEM,4,0
42,38,NE,IL,4,0
37,21,NV,UTEP,4,0
17,23,NODA,GA,4,0
20,34,SACS,FREST,4,0
34,31,CO,AZS,4,0
41,35,TOL,COS,4,0
23,17,UTS,SDS,4,0
67,63,UCLA,WAS,4,0
16,35,CAR,HI,4,0
23,35,NAVY,MEMPH,5,0
45,10,DUKE,VAT,5,0
59,0,PAS,MD,5,0
24,41,SJS,AIRF,5,0
24,17,AZS,CA,5,0
18,24,NIL,VAND,5,0
21,28,BY,TOL,5,0
3,48,MIDTN,IA,5,0
3,41,HOCR,CUSE,5,0
15,24,NORW,WI,5,0
14,51,KS,TCU,5,0
0,52,R,MI,5,0
15,31,CMI,WMI,5,0
20,34,BUFF,MIOH,5,0
10,55,TXT,OK,5,0
31,27,TAM,AR,5,0
14,17,DE,PITT,5,0
29,37,AKR,UMASS,5,0
31,59,MS,AL,5,0
45,27,FLAT,CHARL,5,0
37,56,COAST,APPS,5,0
20,35,VA,NODA,5,0
21,23,IAS,BAYL,5,0
31,40,IN,MIS,5,0
21,20,CLEM,NC,5,0
2,24,GAT,TEMP,5,0
27,24,WF,BOSCO,5,0
14,28,SC,WA,5,0
38,31,MN,PURD,5,0
48,21,SMU,SFL,5,0
0,38,TOWSON,FL,5,0
52,14,CIN,MARSH,5,0
50,43,ARS,TROY,5,0
37,24,LALA,GASO,5,0
10,17,NM,LIB,5,0
24,21,ECARO,OLD,5,0
13,26,KSS,OKS,5,0
13,20,ALB,WKY,5,0
3,24,NICHOLLS,TXS,5,0
21,56,CT,CFL,5,0
23,56,MSS,AUB,5,0
13,31,UTEP,SMS,5,0
31,28,ST,ORS,5,0
17,17,LAT,RICE,5,1
17,30,SAL,LAM,5,0
24,34,COS,UTS,5,0
13,31,NCS,FLS,5,0
7,24,KY,SCARO,5,0
48,7,OHS,NE,5,0
30,17,FREST,NMS,5,0
17,53,UNLV,WY,5,0
46,25,HOUS,NTX,5,0
13,38,WAS,UT,5,0
17,20,UCLA,AZ,5,0
54,3,HI,NV,5,0
17,17,GASO,SAL,6,1
27,17,TEMP,ECARO,6,0
24,27,CFL,CIN,6,0
21,32,NM,SJS,6,0
35,45,OKS,TXT,6,0
0,48,KENT,WI,6,0
48,7,MD,R,6,0
6,42,UTS,LAS,6,0
7,35,PURD,PAS,6,0
3,10,IA,MI,6,0
42,33,TULN,ARMY,6,0
45,20,OK,KS,6,0
48,22,SFL,CT,6,0
39,41,BOSCO,LOUIS,6,0
24,49,TCU,IAS,6,0
16,42,EMI,CMI,6,0
25,34,AIRF,NAVY,6,0
13,24,AUB,FL,6,0
24,31,WMI,TOL,6,0
31,12,BAYL,KSS,6,0
0,52,BOWL,NODA,6,0
42,31,TX,WV,6,0
42,35,VAT,UMIA,6,0
13,24,MARSH,MIDTN,6,0
14,14,OH,BUFF,6,1
27,20,BALL,NIL,6,0
38,52,ARS,GAS,6,0
17,40,IL,MN,6,0
52,33,MEMPH,LAM,6,0
10,13,NORW,NE,6,0
10,42,TROY,MO,6,0
38,22,NC,GAT,6,0
35,30,AZ,CO,6,0
20,3,WKY,OLD,6,0
43,14,GA,TN,6,0
20,35,RICE,ALB,6,0
0,44,UMASS,FIU,6,0
6,31,VAND,MS,6,0
37,37,TULS,SMU,6,1
10,34,MIS,OHS,6,0
33,30,PITT,DUKE,6,0
20,13,LIB,NMS,6,0
26,16,UTSA,UTEP,6,0
7,17,CA,OR,6,0
48,31,ORS,UCLA,6,0
24,10,SDS,COS,6,0
13,23,WA,ST,6,0
38,13,BOIS,UNLV,6,0
17,7,APPS,LALA,7,0
10,16,CUSE,NCS,7,0
24,14,LAM,TXS,7,0
35,21,COS,NM,7,0
9,17,VA,UMIA,7,0
3,45,CO,OR,7,0
28,30,MEMPH,TEMP,7,0
7,20,TOL,BOWL,7,0
0,35,R,IN,7,0
34,27,OK,TX,7,0
42,25,MI,IL,7,0
17,17,SCARO,GA,7,1
14,40,MD,PURD,7,0
16,38,MIOH,WMI,7,0
10,20,MSS,TN,7,0
23,41,GAT,DUKE,7,0
29,23,BALL,EMI,7,0
17,31,OLD,MARSH,7,0
28,42,NMS,CMI,7,0
0,38,MIS,WI,7,0
47,28,AL,TAM,7,0
23,27,BY,SFL,7,0
26,3,KENT,AKR,7,0
14,45,FLS,CLEM,7,0
34,38,WAS,AZS,7,0
38,23,CIN,HOUS,7,0
39,36,NIL,OH,7,0
7,49,CT,TULN,7,0
17,34,RI,VAT,7,0
13,28,MIDTN,FLAT,7,0
20,20,TXT,BAYL,7,1
38,14,IAS,WV,7,0
38,41,SJS,NV,7,0
34,10,UNLV,VAND,7,0
31,21,GAS,COAST,7,0
33,14,ALB,UTSA,7,0
27,45,NTX,SMS,7,0
27,38,MS,MO,7,0
24,43,FREST,AIRF,7,0
8,17,ARMY,WKY,7,0
21,69,UMASS,LAT,7,0
23,48,CHARL,FIU,7,0
62,59,LOUIS,WF,7,0
20,24,AR,KY,7,0
7,34,NE,MN,7,0
17,12,PAS,IA,7,0
45,17,NAVY,TULS,7,0
27,30,SC,NODA,7,0
28,42,FL,LAS,7,0
52,7,UT,ORS,7,0
37,59,HI,BOIS,7,0
22,26,WY,SDS,7,0
51,27,WA,AZ,7,0
13,37,SAL,TROY,8,0
37,20,LALA,ARS,8,0
34,16,UCLA,ST,8,0
36,31,MARSH,FLAT,8,0
27,20,PITT,CUSE,8,0
52,3,OHS,NORW,8,0
27,56,UNLV,FREST,8,0
20,26,PURD,IA,8,0
24,17,HOUS,CT,8,0
38,45,KENT,OH,8,0
51,10,AUB,AR,8,0
23,24,WI,IL,8,0
34,24,IAS,TXT,8,0
45,10,CLEM,LOUIS,8,0
38,27,FL,SCARO,8,0
14,52,WV,OK,8,0
24,45,NCS,BOSCO,8,0
21,21,GAT,UMIA,8,1
38,20,CMI,BOWL,8,0
14,52,TOL,BALL,8,0
17,24,TCU,KSS,8,0
24,27,NIL,MIOH,8,0
21,17,ORS,CA,8,0
10,10,COAST,GASO,8,1
10,23,NM,WY,8,0
14,48,DUKE,VA,8,0
31,31,NC,VAT,8,1
34,28,IN,MD,8,0
42,7,MN,R,8,0
21,45,TEMP,SMU,8,0
21,0,BUFF,AKR,8,0
30,45,SMS,LAT,8,0
35,31,OR,WA,8,0
13,24,TULS,CIN,8,0
36,13,LAS,MSS,8,0
3,35,SFL,NAVY,8,0
7,52,LAM,APPS,8,0
30,33,MIDTN,NTX,8,0
14,30,CHARL,WKY,8,0
14,38,OLD,ALB,8,0
45,27,BAYL,OKS,8,0
14,21,MO,VAND,8,0
3,21,AZS,UT,8,0
44,59,ME,LIB,8,0
0,21,KY,GA,8,0
27,31,RICE,UTSA,8,0
17,47,TULN,MEMPH,8,0
27,34,WMI,EMI,8,0
48,50,KS,TX,8,0
21,28,ARMY,GAS,8,0
17,32,UTEP,FIU,8,0
10,41,CO,WAS,8,0
27,17,SDS,SJS,8,0
28,41,ECARO,CFL,8,0
24,17,TAM,MS,8,0
21,28,MI,PAS,8,0
20,22,FLS,WF,8,0
13,35,TN,AL,8,0
14,41,AZ,SC,8,0
10,36,NV,UTS,8,0
25,28,BOIS,BY,8,0
56,26,AIRF,HI,8,0
34,31,SMU,HOUS,9,0
35,31,SC,CO,9,0
30,3,APPS,SAL,9,0
41,48,OK,KSS,9,0
16,12,UMIA,PITT,9,0
34,29,SJS,ARMY,9,0
34,44,LIB,R,9,0
7,38,WI,OHS,9,0
30,49,MSS,TAM,9,0
24,6,IL,PURD,9,0
20,0,IA,NORW,9,0
10,49,BOWL,WMI,9,0
20,6,SMS,RICE,9,0
34,21,OH,BALL,9,0
3,31,NV,WY,9,0
23,26,WKY,MARSH,9,0
7,41,NMS,GASO,9,0
38,31,IN,NE,9,0
10,52,MD,MN,9,0
38,41,TULN,NAVY,9,0
20,43,CMI,BUFF,9,0
31,31,EMI,TOL,9,1
41,3,FLAT,OLD,9,0
17,50,FIU,MIDTN,9,0
20,23,AUB,LAS,9,0
21,28,VA,LOUIS,9,0
34,27,OKS,IAS,9,0
17,35,CUSE,FLS,9,0
56,35,CT,UMASS,9,0
38,39,NTX,CHARL,9,0
28,7,PAS,MIS,9,0
27,37,TX,TCU,9,0
0,49,AKR,NIL,9,0
23,16,MIOH,KENT,9,0
31,41,AZ,ST,9,0
45,20,SFL,ECARO,9,0
45,31,HI,NM,9,0
17,20,DUKE,NC,9,0
21,41,SCARO,TN,9,0
14,38,TXS,ARS,9,0
34,37,TXT,KS,9,0
7,48,AR,AL,9,0
42,41,MEMPH,TULS,9,0
63,21,CFL,TEMP,9,0
33,52,TROY,GAS,9,0
7,59,BOSCO,CLEM,9,0
14,45,NODA,MI,9,0
32,42,AZS,UCLA,9,0
7,29,MO,KY,9,0
41,31,COS,FREST,9,0
42,21,LAT,UTEP,9,0
0,35,CA,UT,9,0
7,31,UTS,AIRF,9,0
35,37,WAS,OR,9,0
20,17,SDS,UNLV,9,0
14,17,WV,BAYL,10,0
24,21,GASO,APPS,10,0
56,10,NAVY,CT,10,0
10,48,NIL,CMI,10,0
