AKR,AKRON,MAC
AL,ALABAMA,SEC
ALB,ALABAMA-BIRMINGHAM,CUSA
APPS,APPALACHIAN_ST,SUN
AR,ARKANSAS,SEC
ARMY,ARMY,IND
ARS,ARKANSAS_ST,SUN
AUB,AUBURN,SEC
AZ,ARIZONA,PAC12
AZS,ARIZONA_ST,PAC12
BALL,BALL_ST,MAC
BAYL,BAYLOR,BIG12
BOIS,BOISE_ST,MWC
BOSCO,BOSTON_COLL,ACC
BOWL,BOWLING_GREEN,MAC
BUFF,BUFFALO,MAC
BY,BYU,IND
CA,CAL,PAC12
CFL,UCF,AAC
CHARL,CHARLOTTE,CUSA
CHARSO,CHARLOTTE-SOUTHERN
CIN,CINCINATTI,AAC
CLEM,CLEMSON,ACC
CMI,CENTRAL_MICHIGAN,MAC
COAST,COASTAL_CAROLINA,SUN
CO,COLORADO,PAC12
COS,COLORADO_ST,MWC
CT,UCONN,AAC
CUSE,SYRACUSE,ACC,FBS
DUKE,DUKE,ACC,FBS
ECARO,EAST_CAROLINA,AAC
EIL,EASTERN_ILLINOIS,OVAC,FCS
EKY,EASTERN_KENTUCKY,OVAC,FCS
EMI,EASTERN_MICHIGAN,MAC
FIU,FIU,CUSA
FL,FLORIDA,SEC
FLAT,FLORIDA_ATLANTIC,CUSA
FLS,FLORIDA_ST,ACC
FORD,FORDHAM,PATRIOT
FREST,FRESNO_ST,MWC,FBS
FURM,FURMAN,SOCON
GA,GEORGIA,SEC,FBS
GARDW,GARDNER-WEBB,BSC
GAS,GEORGIA_ST,SUN
GASO,GEORGIA_SOUTHERN,SUN
GAT,GEORGIA_TECH,ACC
GRAM,GRAMBLING,SWAC
HI,HAWAII,MWC
HOUS,HOUSTON,AAC
IA,IOWA,B1G
IL,ILLINOIS,B1G
IN,INDIANA,B1G
JACKS,JACKSON_ST,SWAC
KENNES,KENNESAW_ST,BSC
KENT,KENT,MAC,FBS
KY,KENTUCKY,SEC,FBS
KS,KANSAS,BIG12,FBS
KSS,KANSAS_ST,BIG12,FBS
LIB,LIBERTY,IND,FBS
LALA,LOUISIANA-LAFAYETTE,SUN,FBS
LAM,LOUISIANA-MONROE,SUN,FBS
LAS,LSU,SEC,FBS
LAT,LOUSIANA-TECH,CUSA,FBS
LOUIS,LOUISVILLE,ACC,FBS
MARSH,MARSHALL,CUSA,FBS
MCNEES,MCNEESE_ST,SOUTHLAND,FCS
MD,MARYLAND,ACC,FBS
ME,MAINE,CAA,FCS
MEMPH,MEMPHIS,AAC,FBS
MI,MICHIGAN,B1G,FBS
MIDTN,MIDDLE-TENNESSEE,CUSA,FBS
MIOH,MIAMI-OHIO,MAC,FBS
MIS,MICHIGAN_ST,B1G,FBS
MN,MINNESOTA,B1G,FBS
MO,MIZZOU,SEC,FBS
MS,OLE_MISS,SEC,FBS
MSS,MISSISSIPPI_ST,SEC,FBS
MURRS,MURRAY_ST,OVAC,FCS
NAZ,NORTHERN_ARIZONA,BIGSKY
NC,UNC,ACC
